context,answer
That is bad.,"That was really bad, it was really —"
Let me ask about the Saudis first. Would you take their money now?,"I think we probably would not, yes."
It’s their ruler.,Sure.
"It’s their ruler, it’s the guy who runs everything.","They didn’t elect him, you know?"
"No, no, I’m just talking about the people who have the money.","I think there are serious issues, it’s not good."
You think that — do you see that happening?,I do not.
"There is a very strong concentration of AI power, and especially at Google/DeepMind. And I have very high regard for Larry Page and Demis Hassabis, but I do think that there’s value to some independent oversight.",How is Musk feeling about the future?
"Okay, but you did say there was a chance that we are still in a ... Last time we talked —","I said, “What appears to be reality.”"
Why are you feeling that?,My current gut feel is weirdly optimistic.
"Because, given this polarization?","I don’t know, don’t know."
"Does this polarization affect you? You’ve pulled yourself off the Trump councils, I know you and I talked about whether ... I said you shouldn’t go ’cause he was gonna screw you, remember? We had a whole —","Well, you were right."
"Yes, I know you did. I think I called you, I think I said, “You’re not Jesus, it’s not going to work.”",I definitely do not think I am Jesus.
"Right, would you do it again?","Do you mean now, or ...?"
Yeah.,"I don’t know, are there councils?"
"Mm-hmm, whatever. Don’t, don’t.","Yeah, but —"
You’ll miss a letter.,"Totally. I’m like, “Do I have all the letters?”"
"Totally. I’m like, “Do I have all the letters?”","There’s a new letter, no there’s a new one."
"Yes, you’ve been very supportive.","Yeah, absolutely."
"The earbuds make me very happy, I don’t know why.",The ones without the cable?
"Without the cable, I love them. I look terrible, I love them. You know, the earbuds [AirPods]?","Yeah, the one without the cable?"
Yeah.,Yeah.
"Right, okay, my last question. If you had to redo anything this year, Elon, what would it be? Besides your ... apparently, you did sumo wrestling? Obviously that’s one of —",That was five years ago.
"Okay, all right.",My back still hurts.
I don’t know why you do it.,Yes.
"Yeah, do you want to say you’re sorry? No. You can if you want.",I’m sorry to some journalists.
"Okay, I’ll give you that, I’ll give you that. Okay, I’ll give you that. Elon, podcast secured.","Thank you, Kara. It was great to see you."
"Thank you so much, I appreciate it. You kept your promise. Elon and I have been emailing about this, and you do keep your promise compared to a lot of other people, and I appreciate it.","Always, it was great to see you."
"Always, it was great to see you.",Why Tesla won’t make a scooter
"It’s been a really fascinating discussion, and I will think about buying an electric car, probably not. I’m not going to try to —","I mean, why not?"
"I love the scooter, no, get on the scooter.",It lacks dignity.
"No, it doesn’t lack dignity.",Yes they do.
"They don’t lack dignity, what are you talking about?",Have you tried driving one of those things? They —
"Yes, I do it all the time, I look fantastic.","They do not, you are laboring under an illusion."
"I truly do. Well, I think I look good, and therefore —",This is an illusion.
“It lacks dignity.”,It lacks dignity.
"That was a pleasure, thank you. It was good to see you.",
,This article originally appeared on Recode.net.
