context,answer
"There is a lot of good news though. A lot of people may not be aware that that wind and solar comprise 75% of new electricity capacity in the US this year. So this is really major. So the grid is going sustainable very quickly. Now, it’s also worth noting that the length of time that power plants lasts is on the order of 25 years. So even if a hundred percent of energy generation was sustainable, it will still take 25 years to convert the grid. And it’s also worth noting that in the past 10 years, power production from coal has dropped in half. So it went from 46% of electricity in 2010 to 23% in 2020. So this is a massive improvement. So good things are happening on a lot of levels. We just need to go faster.","So Tesla’s contribution, we’ve delivered over a million electric vehicles, 26 billion electric miles driven, and many gigawatt hours of stationary batteries, 17 terawatt hours of solar generated. So I think solar is sometimes underweighted at Tesla, but it is a massive part of our future. The three parts of a sustainable energy future are sustainable energy generation, storage, and electric vehicles. So we intend to play a significant role in all three. So to accelerate the transition to sustainable energy, we must produce more EVs that need to be affordable and a lot more energy storage, while building factories faster and with far less investment. So goal number one is a terawatt hour scale battery production. So tera is the new giga. And a terawatt is a thousand times more than a gigawatt. So we used to talk in terms of gigawatts, in the future, we’ll be talking in terms of terawatt hours. So this is what’s needed in order to transition the world to sustainability."
"Yeah, and you can see it’s… We’re talking about a hundred X growth in batteries for electric vehicles to achieve this mission. And we are going to get there. It’s just a matter of how fast. And our intention is to accelerate it.","Yeah, you basically need on the order of roughly 10 terawatt hours a year of battery production to transition the global fleet of vehicles to electric."
"And the average vehicle lasts 15 years. So we’re talking about 150 terawatt hours give or take to transition the whole electric, all vehicles of all types, to electric.","Yeah. So it’s a lot of batteries, basically. And so-"
"Yeah. And then on the grid side, we have a similar mountain to climb, 1600 times growth from today’s grid batteries to go a hundred percent renewable on the grid and to take all of the existing heating fossil fuel uses in homes and businesses, a hundred percent electric.","Yeah. And this number I think might grow even more. As the world economy matures, and as countries with high populations industrialize, we could see this number be even more. But let’s say it’s like roughly 20 to 25 terawatt hours per year sustained for 15 to 25 years to transition the world to renewable. This is a lot."
Yeah.,"So today’s batteries cannot scale fast enough. They’re just too small. For Giga Nevada, 150 gigawatt hours per year is what we probably expect to make out of there. But this is really pretty small in the grand scheme of things. That’s only 0.15 terawatt hours. And it costs too much."
We would need 135 fully built out in Nevada Giga factories to achieve 20 terawatt hours a year. It’s not scalable enough of a solution. We need a dramatic rethink of the cell manufacturing system to scale as fast as we can and should.,"Yeah, and I think we should view this as more than just a question of money. Money is sort of an ethereal thing, but it’s really the amount of effort. You have a certain amount of effort in terms of people and machines, and depending on how efficient that effort is, for a given amount of effort, you want the most amount of batteries. So it’s not just the question of well, if we have $2 trillion, tomorrow you could make this. It’s not that easy. You actually need to organize a massive number of people, build a lot of machines, build the machines that make the machines. And so it’s incredibly important to have that effort yield the most number of batteries."
"Yeah, and I think we should view this as more than just a question of money. Money is sort of an ethereal thing, but it’s really the amount of effort. You have a certain amount of effort in terms of people and machines, and depending on how efficient that effort is, for a given amount of effort, you want the most amount of batteries. So it’s not just the question of well, if we have $2 trillion, tomorrow you could make this. It’s not that easy. You actually need to organize a massive number of people, build a lot of machines, build the machines that make the machines. And so it’s incredibly important to have that effort yield the most number of batteries.","So, and then goal two, obviously we need to make more affordable cars. I think one of the things that troubles me the most is that we don’t yet have a truly affordable car, and that is something that we will make in the future. But in order to do that, we’ve got to get the cost of batteries down. We’ve got to make, and we’ve got to be better at manufacturing. And we need to do something about this curve. The curve of the cost per kilowatt hour of batteries is not improving fast enough. So we’ve given this a lot of thought over many years to say, okay, how can we radically improve the cost per kilowatt hour curve? It’s been somewhat flattening out actually in recent years."
"Yeah. I mean, early growth was promising, but you can see we’re kind of plateauing. So that’s what’s motivating us to rethink how cells are produced and designed.","Yeah, exactly. So yeah. And EV market share is growing, but EVs still aren’t accessible to all. And you can see, as you Drew were saying, it’s like starting to flatten out a little bit because the rate of improvement of the affordability of cars is just not fast enough. So that’s why we’ve got Battery Day."
"Yeah. To make the best cars in the world, we designed vehicles in factories from the ground up. Next. And now we do this for batteries as well.","Yeah. It’s weird, the slides don’t show up quite right here. What shows up on the screen is not quite what shows up there."
"Oh, okay.",It’s different.
Yeah. I think it’s because that’s… Yeah.,"That one’s current, supposed to be current. Whatever."
"So let’s get started. We have a plan to have the cost per kilowatt hour. And it’s not a plan that rests on a single innovation, some research project that will never see the light of day. It’s a plan that has taken creative engineering and industrialization across every facet of what makes a cell into a battery pack, from raw material to the finished thing. And we’re going to go through that plan with you today, step-by-step, and build up how we get to these goals and how we accelerate this transition and make our vehicles and our grid batteries more affordable.","Yeah. I mean, we basically thought through every element of the battery, or almost every element. There are a few more elements that we won’t get to today, but we will get to in the future."
"Watch what happens as we, there we go, discharge the cell. Got lithium moving from anode to cathode. And then the reverse when we charge the cell, lithium moving from cathode to anode across the separator. This is the basic of what makes all lithium-ion batteries, no matter what the form factor is. And when we look at what’s happened today, at least in our products, we’ve moved from the 18650 form factor to the 2170 form factor through great collaboration with our partners, Panasonic, new partners like LG and CATL and probably others in the future.","Actually, slight note on why is the one called 18650, although not on the slide, versus the 2170, is that the first two digits refer to the diameter, and the second two digits refer to the length. So that helps explain what’s up with these weird numbers. But nobody could explain to me why there was an extra zero. So I, so I said, “Okay, well, we’re deleting the zero that nobody can explain in future form factors.” So that’s why it’s technically, it’s like the 18650 bizarrely, but going forward it’s the 2170, because we just got rid of the extra zero because it’s pointless."
"And this was a evolutionary step going from 1865 to 2170, bringing 50% more energy into the cell. But when we look to the ideal cell design, if we were to do it ourselves, we need to go beyond just what we’re looking at us in front of us and study the full spectrum of options. So as you can see, we kind of swept the key figures of merit, how much we can reduce the cost and how much vehicle range increases as we change the outer diameter of the cell. We found a sweet spot somewhere around 46 millimeters. But it’s not just about a bigger form factor. Anybody could make a bigger form factor.","Any fool, any fool could make a bigger form factor. Are we not any fool?"
"Yeah, exactly. There are problems as you make cells larger. In fact, supercharging and thermals in general become really challenging as you make bigger cells. And this was the challenge that our team set our sights on to overcome. And we did, we came up with this tabless architecture that maybe you’ve heard about, that basically removes the thermal problem from the equation and allows us to go to the absolute lowest cost form factor and the simplest manufacturing process. And this is what we mean when we talk about tabless. It’s kind of a beautiful thing.","Yeah. That’s what these t-shirts mean, but it’s very esoteric. It was like, nobody could figure it out."
"Yeah, we basically took the existing foils, laser pattered them, and enabled dozens of connections into the active material through this shingled spiral you can see with simpler manufacturing, fewer parts, 50 millimeter versus 250 millimeter electrical path length, which is how we get all the thermal benefits.","Yeah. This is important to appreciate. Basically the distance that that electron has to travel, it’s just much less. So you actually have a shorter path length in a large tabless cell than you have in the smaller cell with tabs. This is a big deal. So even though the cell is bigger, it actually has more power. The power to weight ratio is actually better than the smaller cell with tabs. This is, again, this is quite hard to do it. Nobody’s done it before and it really took a tremendous amount of effort within Tesla engineering to figure out how do we make a frigging tabless cell and have it actually work and then connect that to the top cap. There’s a whole bunch of things that we’re keeping a little secret sauce here that we’re not telling everything, but-"
"Sometimes what’s elegant and simple is still hard. And it took us a lot of trials, but we’re happy where we ended up.","Yeah. I mean, everything is simple in recollection, after you… it’s hard until it’s discovered and then it’s simple. So anyway, there’s a lot of really cool things going on that enable tabless. And it was really due to a really great engineering team. Drew and the rest of the team had done amazing work in achieving this tabless construction. I think it may sort of sound a bit silly to some people, but for people that really know cells, this is a massive breakthrough."
For cylindricals to be able to get rid of the tabs dramatically simplifies winding and coding. And has an awesome thermal and performance benefit.,"Yeah. Just to elaborate on that a bit, it’s like when the cell is going through the system, it has to keep stopping where all the tabs are. So you can’t do a continuous motion production if you have tabs. You have to keep stopping and then there’s a rate at which you can start and stop and accelerate again and it really slows down the rate of production. And then sometimes you get the tabs wrong and you also lose a little bit of active area. It’s really a huge pain in the ass to have tabs from a production standpoint."
"Yes. And so when we put it all together and go to our new 80 millimeter length, 4680 we call this a new cell design, we get five times the energy with six times the power and enable 16% range increase, just form factor alone.","Yeah. So these… Yeah. It’s pretty great. And just to clarify, when we see these plus 16% or whatever the percentage rate increase is, these are the amounts due just to that particular innovation. So we’ll list a whole bunch of innovations and then when you add them up, you get a total improvement in energy density and cost. But these numbers are what refer to just this thing."
"Yeah. And I want to stress, this is not just a concept or a rendering. We’re starting to ramp up manufacturing of these cells at our pilot 10 gigawatt hour production facility, just around the corner.","Yeah. So. Yeah. It’s a video of some of what’s going on in the plant. Now. I mean, to be clear, it will take about a year to reach the 10 gigawatt hour capacity. So this is important to appreciate. When you build a factory, there’s a certain capacity that you design to, and then it takes some period of time to actually achieve that capacity. So I would say it’s probably about a year before we get to the 10 gigawatt hour annualized rate with the pilot plant. And this is just a pilot plant. The actual production plants will be more on the order of maybe 200 gigawatt hours, maybe more over time."
"You’ve got mixing where the powders are mixed with either a water or a solvent, solvents for the cathode. That mix then goes into a large coat and dry oven where the slurry is coated onto the foil, huge ovens, tens of meters long, dried, and that solvent then has to be recovered. You can see the solvent recovery system. And then finally the coated foil is compressed to the final density. And when you’re looking at this, you’re like, wow, that’s a lot of equipment for one step, especially when you consider that little spec next to the coating oven is a person. This is serious iron involved in making batteries. Wouldn’t it be great if we could skip that solvent step, which is one of those dig a ditch, and then fill it kind of things where you put the solvent in and then take it out and recycle it, and just go straight to a dry mix to coat? And that’s what the dry process really is about. And in the most basic form, you can see it here on a benchtop, literally powder into film, as simple as that.","I mean, it’s hard actually, just to be clear. If this was easy, everyone would do it. It’s not like dry coating electrode is actually easy. It’s actually very hard to do what appears to be a simple thing. And it’s worth noting, we did acquire Maxwell a little over a year ago, I guess, and certainly a good company and everything, but the dry coating they had was like, it’s like sort of, I would call proof of concept. Since the acquisition. We’ve actually ramped the machine that does dry coating four times. So revision full post acquisition of the machine, and there’s still a lot of work to do. So I would not say this is completely in the bag. It’s still a lot of work to do. And as you grow, as you scale, go from benchtop to lab to pilot to volume production, there are actually major issues that you encounter at every level. It’s not like you make something work on your bench and bingo, now you can make a bazillion of it."
Absolutely.,It’s insanely difficult to scale up. Yeah.
"Yeah, but if you do scale it up, what you saw before becomes this. So you can see the motivation. A 10 times reduction in footprint, a 10 times reduction in energy and a massive reduction in investment. But as Elon was saying, simple is hard.","Yeah. I mean, to be clear, I would like to not say that right now, it just totally working. It’s close to working, but it’s not, even now at the pilot plant level, it is close to working. It’s fair to say probably it does work, but with not a good, not a high yield."
"Yeah. We’re still ironing out the kinks, but we’ve made tens of thousands of cells, thousands of kilometers of electrode. I mean, we are on the fourth generation of the equipment so we’ve learned a lot along the way. I mean, it is super demanding because every atom has its place if you want to deliver the energy density and the cycle life and the supercharging. But we’re confident that we will get there, but it will be a lot of work along that.","There’s a clear path to success, but a ton of work between here and there. But this is a really profound improvement. Again, for people that know battery manufacturing, this is gigantic. We’ll probably be on machine revision six or seven by the time we do large scale production. The rate at which the machines are being improved is extremely rapid. Literally every three or four months, there’s a new rev."
"Yeah. And beyond the electrode, we continue to innovate on every other process steps. So let’s talk a little bit about assembly, which is next. The key to a high-performing assembly line is accomplishing processes while in motion, continuous motion. And thinking of the line as a highway, max velocity down the highway, no start and stop, no city driving.","Exactly, no stop lights and traffic lights sort of thing. You want the highway."
"You want the highway. And together with our internal design team that makes this equipment and designs this equipment, we coupled thinking about how to make the best cell with thinking about how to make the best equipment so that we could accomplish the fastest parts per minute rates on all of these tools. And through all of that development, we were able to get to the point where we can implement assembly lines, one line, 20 gigawatt hours, seven times increase in output per line. And when you’re thinking about scalability and pure effort, having one line be seven X the capability is just effort multiplying.",Yeah. So you can sort of think about the sort of the fundamental physics of a factory or something. I think it’s actually quite a lot like the rocket equation where you’ve got basically the rocket equation you’ve got your exhaust velocity and then the log of [end 02:05:24] masses. So it’s basically saying how fast are things going and what percentage of the factory volume is doing useful work? And conveyance does not count as useful work.
Only the value added steps.,"Yeah. If you break the factory down into cubic meter sections and say… or smaller. Could be like one liter sections, and say, “Is a majority of this volume of doing useful work?” You’d be astounded at how bad most factories are. They’d be like maybe two or 3%, including our factory in Fremont. So I think it’s possible to get to at least 10 times that of volumetric efficiency. So more like 30%ish, maybe more, and be 10x better, which means the factory can be 10 times smaller. And then the other thing is how fast are things going through the factory? It’s like speed and density. A factory that’s moving at say twice the speed of another factory is equivalent to two factories basically. And the company that will be successful is the company that with one factory can accomplish what other companies take two or three or four factories to do. So this is what we’re trying to do here is say, okay, how do we, with one factory achieve what maybe five or even 10 factories would normally be required to achieve?"
"And the vertical integration with the machine design teams at Grohmann and Hibar and others allows us to really accomplish that because we don’t have any of these edge conditions between one piece of equipment and another, we can design the entire machine to be one machine and remove all of these unnecessary steps.","Yeah. I mean, basically Tesla is aiming to be the best at manufacturing of any company on Earth. This is the thing that’s actually most important in the long run I think, just from a company standpoint and from basically achieving sustainability as fast as possible. But I think also for long-term competitiveness, eventually every car company will have long range electric cars. Eventually every company will have autonomy, I think, but not every company will be a great at manufacturing. Tesla will be absolutely head and shoulders above anyone else in manufacturing, that is our goal."
"Manufacturing is hard and hard problems are fun to solve. Okay. Now let’s talk about formation. In a typical cell factory, formation represents 25% of the investment. And what is formation? Is it’s charging and discharging cells and verifying the quality of the cell. It turns out we’ve charged and discharged billions and billions of cells in our vehicles so we know a thing or two about that. The typical formation set up is you charge and discharge each cell individually. In our car, we charge thousands of cells at once. And we took our principal and our power electronics, leveraging Powerwall vehicle battery management systems and others to dramatically improve the formation equipment cost-effectiveness and density. 86% reduction in formation investment, 75% reduction in footprint. You want to take this one?",Sure. So essentially what this translates to based on what we know today is about a 75% reduction in the investment per kilowatt hour. Or gigawatt hour. It’s just basically four times better than the current state of the art to the best of our knowledge. And I think there’s probably room to improve even beyond that.
Definitely.,"Definitely. Yeah. So we’re able to, from a volume standpoint, actually get what, in a smaller form factor than Giga Nevada, we’re able to get many times the cell output. So you can see basically we can get a terawatt hour in less space than it took to make a gigawatt hour, 150 gigawatt hours. So this is pretty profound. I would actually not have thought this was possible several years ago, that we could actually get to a terawatt scale in less space than what we currently envisioned for doing 150 gigawatt hours."
"Yes. Simpler accelerates terawatt scale. And that’s what we need to do to accelerate our mission. And as Elon said, we’re going to try to even improve on this as we push towards our goals, which are…","Yeah. So this is just talking about Tesla internal cell production. As I tweeted out earlier, we will continue to use our cell suppliers, Panasonic and LG and CATL. And so this is a hundred gigawatt hours supplemental to what we buy from suppliers. And yeah, essentially, this does reduce our weighted average cost of a sale, but it allows us to make a lot more cars and a lot more stationary storage. And then long-term, we’re expecting to make on the order of a 3000 gigawatt hours or three terawatt hours per year. I think we’ve got a good chance of achieving this actually before 2030, but I’m highly confident that we could do it by 2030."
"When you look at the size of that factory on the previous page, it really shows how enabling all of these advancements are in achieving a three terawatt hour goal by 2030. And not only is all of that manufacturing innovation fantastic for enabling scale, it’s also an additional 18% reduction in dollar per kilowatt hour at the battery pack level.","But wait, there’s more."
"But wait, there’s more. So we have a manufacturing system, we’ve got a cell design. What are the active materials we’re going to put in that cell design? Let’s talk about the anode first. Let’s talk about silicon. Why is silicon awesome? It’s awesome because it’s the most abundant element in the Earth’s crust after oxygen, which means it’s everywhere. It’s sand.",Sand is silicon dioxide.
"And it happens to store nine times more lithium than graphite, which is the typical anode material in lithium-ion batteries today. So why isn’t everybody using it? The main reason is because the challenge with silicon is that it expands four X when fully charged with lithium. And basically all of that expansion stress on the particle, the particles start cracking, they start electrically isolating, you lose capacity. The energy retention of the battery starts to fade. And it also gumps up with a passivation layer that has to keep reforming as the particles expand.","Yeah. Basically with silicon, the cookie crumbles and gets gooey. That’s basically what happens."
"Good analogy. And current approaches to solve this, which exist, I mean, we have silicon in the cars that you’re all in right now, involved highly engineered, expensive materials in the scheme of things. Now they’re still great and they enable some of the benefits of silicon. They just don’t enable all of it and they’re not scalable enough. And you can see some of the things that maybe you’ve heard of, SIO, silicon with carbon, or silicon nanowires. That’s kind of the space right now. What we’re proposing is a step change in capability and a step change in cost. And what that really is is to just go to the raw metallurgical silicon itself, don’t engineer the base metal, just start with that and design for it to expand in how you think of the particle in the electrode design and how you coat it.","Yeah. And I’m not sure if you saw this. Basically a dollar per kilowatt hours basically. If you use simple silicon, it’s dramatically less than even the silicon that is currently used in the batteries that are made today, and you can use a lot more of it."
"The anode would cost, yeah, with this silicon, the anode costs a dollar and 20 cents a kilowatt hour.",Yeah.
"And how does it work? Start with raw metallurgical silicon, stabilize the surface with an elastic ion conducting polymer coating that is applied through a very scalable approach. No chemical vapor deposition, no highly engineered high capacity, high cap ex solutions, and then integrate it into the electrode through a robust network formed out of a highly elastic binder. And in the end, by leveraging this silicon to its potential, we can increase the range of our vehicles by an additional 20%. Just this improvement.",Yeah. It gets cheaper and longer range. Okay.
"Yeah. And when we take that anode cost reduction, we’re looking at another 5% dollar per kilowatt hour reduction at the battery pack level. And there’s more. Let’s talk about cathodes. What is a battery cathode? Cathodes are like bookshelves where the metal, the nickel, the cobalt, the manganese or aluminum is like the shelf, and the lithium is the book. And really what sets apart these different metals is how many books of lithium they can fit on the shelves and how sturdy the shelves are. Cobalt is a-","Sorry, I was going to say it’s tough to exactly figure out what the right analogy is to explain a cathode and anode. But a bookshelf is probably a pretty good one in the sense that you need a stable structure to contain the ions. So you want a structure that does not crumble or get gooey, or basically that that holds its shape in both the cathode and the anode. As you’re moving these ions back and forth, it needs to retain its structure. So if it doesn’t retain a structure, then you lose cycle life and your battery capacity drops very quickly."
"Why increasing nickel is a goal of ours, and really everybody’s in the battery industry. But one of the reasons why cobalt is even used at all is because it is a very stable bookshelf. And the challenge with going to pure nickel is stabilizing that bookshelf with only nickel. And that’s what we’ve been working on with our high nickel cathode development, which has zero cobalt in it, leveraging novel coatings and dopants We can get a 15% reduction in cathode dollar per kilowatt hour.",Yeah. Big deal.
But it’s not just about nickel. You want a?,"Yeah. Sure. So in order to scale, we really need to make sure that we’re not constrained by total nickel availability. I actually spoke with the CEOs of the biggest mining companies in the world and said, “Please make more nickel, this is very important.” And so I think they are going to make more nickel. I think we need to have a kind of a three-tiered approach to batteries."
"Yeah. Sure. So in order to scale, we really need to make sure that we’re not constrained by total nickel availability. I actually spoke with the CEOs of the biggest mining companies in the world and said, “Please make more nickel, this is very important.” And so I think they are going to make more nickel. I think we need to have a kind of a three-tiered approach to batteries.","So starting with iron, that’s kind of like a medium range, and then nickel manganese as sort of a medium plus intermediate and then high nickel for long range applications like Cyber Truck and the semi. Something like a semi-truck, it’s extremely important to have high energy density in order to get long range. And just to give sort of iron up a bit more time, if you look at [inaudible 02:17:37] per kilogram at the cathode level of iron, it looks like nickel’s twice as good, but when you fully consider it at the pack level, everything else taken into account, nickel is about maybe 50 or 60% better than iron."
"So starting with iron, that’s kind of like a medium range, and then nickel manganese as sort of a medium plus intermediate and then high nickel for long range applications like Cyber Truck and the semi. Something like a semi-truck, it’s extremely important to have high energy density in order to get long range. And just to give sort of iron up a bit more time, if you look at [inaudible 02:17:37] per kilogram at the cathode level of iron, it looks like nickel’s twice as good, but when you fully consider it at the pack level, everything else taken into account, nickel is about maybe 50 or 60% better than iron.","So iron is a little better than it would seem, when you look at it at the pack level fully considered. It’s not as good as nickel, nickel’s like 50 to 60% better, but it’s actually pretty good. Good for stationary storage and for medium range applications where energy density is not paramount. And then, like I said, for intermediate, it’s kind of a nickel manganese, and it’s a relatively straightforward to do a cathode that’s two-thirds nickel one third manganese, which would then allow us to make 50% more cell volume with the same amount of nickel."
"And with very little energy trade-off. Just enough to have, you still want to use 100% nickel for something like a semi-truck, but really not much of a sacrifice at all.",Yeah.
"Here’s a view of the traditional cathode process. Effectively, if you start at the left and you have the metal from the mine, the first thing that happens is the metal from the mine is changed into an intermediate thing called a metal sulfate, because that just happened to be what chemists wanted a long time ago. And then when you’re making the cathode you have to take this intermediate thing called the metal sulfate fate, add chemicals, add a whole bunch of water, a whole bunch of stuff happens in the middle, and at the end you get that little bit of cathode and a whole bunch of wastewater and byproducts.","It’s insanely complicated. It’s a small world journey of, “I am a nickel atom, what happens to me?” And it is crazy. You’re going around the world three times, there’s the moral equivalent of digging the ditch, filling the ditch and digging the ditch again, it’s total madness basically. And these things just grew up, they’re just kind of like legacy things, it’s like how it was done before and then they connected the dots but really didn’t think of the whole thing from a first principle standpoint saying, “How do we get from the nickel ore in the ground to the finished nickel product for a battery?” So we’ve looked at the entire value chain and said, “How can we make this as simple as possible?”"
"And now that we have this process, obviously we’re going to go and start building our own cathode facility in North America and leveraging all of the North American resources that exist for nickel and lithium. And just doing that, just localizing our cathode supply chain and production, we can reduce miles traveled by all the materials that end up in the cathode by 80%, which is huge for cost.","Yeah. To be clear, cathode production would be part of our the Tesla cell production plant. So it would just be basically raw materials coming from the mine and from raw materials in the mine out comes a battery."
"And on that note, the way the lithium ends up in the cell is through the cathode. So then we should obviously on-site lithium conversion as well, which is what we will do using a new process that we’re going to pioneer. That’s a sulfate-free process again, skip the intermediate, 33% reduction in lithium cost, a hundred percent electric facility co-located with the cathode plant.","So it’s important to note that there is a massive amount of lithium on earth. So lithium is not like oil. There’s a massive amount of it, pretty much everywhere. In fact is there’s enough lithium in the United States to convert the entire United States fleet to electric, all the cars in the United States. Like 300 million or something like that. Every vehicle in the United States can be converted to electric using only lithium that is available in the United States."
Discovered today.,"Yeah, what we already know is exist."
People really haven’t even been looking.,"Yeah, people haven’t been trying because it’s just widely available. But it is important to say, “Okay, what is the smartest way to take ores and extract the lithium and do so in an environmentally friendly way?” And we actually discovered… Again, looking at it a first principles physics standpoint, instead of just the way it’s always been done, is we found that we can actually use table salt, sodium chloride, to basically extract the lithium from the ores. Nobody’s done this before, to the best of my knowledge, nobody’s done this. And all the elements are reusable, it’s a very sustainable way of obtaining lithium. And we actually got rights to a lithium clay deposit in Nevada."
"Over 10,000 acres.","Over 10,000 acres. And then the nature of the mining is actually also very environmentally sensitive in that we sort of take a chunk of dirt out of the ground, remove the lithium, and then put the chunk of dirt back where it was. So it will look pretty much the same as before, it will not look like terrible. And yeah, it’ll be nice."
"Simply mix clay with salt, put it in water, salt comes out with the lithium, done.",Yeah. It’s pretty crazy.
Yeah. So we’re really excited about this and there really is enough lithium in Nevada alone to electrify the entire US fleet.,"Yeah, that’s true. Actually, just what’s in Nevada. Basically, there’s so much damn lithium on Earth it’s crazy. It’s one of the most common elements on the planet."
"And eventually, as we said at the beginning, when we get to this steady state 20 terawatt hours per year of production, we will transfer the entire non-renewable fleet of both power plants, home heating and industry heating and vehicles to electric. And at that point, we have an awesome resource in those batteries to recycle, to make new batteries. So we don’t need to do any more mining at that point. And you can see why. The difference in the value of the material coming back from the vehicle versus the ground, you’d always go to the vehicle. And we recycle a hundred percent of our vehicle batteries today. And actually, we are starting our pilot full-scale recycling production at Gigafactory Reno next quarter to continue to develop this process as our recycling returns grow.","To date, it’s been done by third parties, but we think we can recycle the batteries more effectively, especially since our batteries, we’re making the same battery as the thing we’re recycling. Whereas third party recyclers have to consider batteries of all kinds."
"Yeah. And just to think about what this actually means, the recycling resource is always 10 or greater years delayed because batteries last a really long time, but eventually it is the way that all resources will be made available. And that’s why we’re investing in this recycling facility in Nevada.","Yeah. Long-term, new batteries will come from old batteries once the fleet reaches steady state."
"Right. Okay. So we just talked about scaling cathode and recycling, all of the benefits that you just saw are added to this benefit of a 12% reduction in dollars per kilowatt hour at the battery pack level, almost at our half of the cost goal, but there’s one more section. Take it away, Elon.","So there’s an architecture that we’ve been wanting to do at Tesla for a long time, and we’ve finally figured it out. And I think it’s the way that all electric cars in the future will ultimately be made, it’s the right way to do things."
"So there’s an architecture that we’ve been wanting to do at Tesla for a long time, and we’ve finally figured it out. And I think it’s the way that all electric cars in the future will ultimately be made, it’s the right way to do things.","So it starts with having a single piece casting for the front body and the rear body. And in order to do this, we commissioned the largest casting machine that has ever been made. And it’s currently working just over the road at our Fremont plant. It’s pretty sweet. Currently making the entire rear section of the car as a single piece, high pressure die-cast aluminum. And in order to do this, we actually had to develop our own alloy because we wanted a high strength casting alloy that did not require coatings or heat treatment. This is a big deal for castings. Especially with a large casting. If you heat treat it afterwards it tends to deform, it kind of does this like potato chip thing. So it’s very hard to keep a large casting to have its shape."
"So it starts with having a single piece casting for the front body and the rear body. And in order to do this, we commissioned the largest casting machine that has ever been made. And it’s currently working just over the road at our Fremont plant. It’s pretty sweet. Currently making the entire rear section of the car as a single piece, high pressure die-cast aluminum. And in order to do this, we actually had to develop our own alloy because we wanted a high strength casting alloy that did not require coatings or heat treatment. This is a big deal for castings. Especially with a large casting. If you heat treat it afterwards it tends to deform, it kind of does this like potato chip thing. So it’s very hard to keep a large casting to have its shape.","So in order to achieve this, there was no alloy that existed that could do this, so we developed our own alloy, a special allow of aluminum, that has high strength without heat treat and is very castable. So that’s a great achievement of our materials team. In fact, in general, we’ve got a lot of advanced materials coming for Tesla, new alloys and materials that have never existed before."
"So in order to achieve this, there was no alloy that existed that could do this, so we developed our own alloy, a special allow of aluminum, that has high strength without heat treat and is very castable. So that’s a great achievement of our materials team. In fact, in general, we’ve got a lot of advanced materials coming for Tesla, new alloys and materials that have never existed before.","So, you’re basically making the front and rear of the car is a single piece and that then interfaces to what we call it, the structural battery. Where the battery for the first time will have dual use. The battery will both have the use as an energy device and as structure. This is absolutely the way things are done. In the early days of aircraft they would carry the fuel tanks as cargo. So the fuel tanks actually were quite difficult to carry. They’re basically worse than cargo, you had to add to kind of bolt them down. It was very difficult. And then somebody said, “Hey, what if we just make the fuel tank in wing shape?” So all modern airplanes, your wing is just a fuel tank in wing shape. This is absolutely the way to do it. And then the fuel tanks serves this dual structure, and it’s no longer cargo. It’s fundamental to the structure of the aircraft. This was a major breakthrough. We’re doing the same for cars."
"So, you’re basically making the front and rear of the car is a single piece and that then interfaces to what we call it, the structural battery. Where the battery for the first time will have dual use. The battery will both have the use as an energy device and as structure. This is absolutely the way things are done. In the early days of aircraft they would carry the fuel tanks as cargo. So the fuel tanks actually were quite difficult to carry. They’re basically worse than cargo, you had to add to kind of bolt them down. It was very difficult. And then somebody said, “Hey, what if we just make the fuel tank in wing shape?” So all modern airplanes, your wing is just a fuel tank in wing shape. This is absolutely the way to do it. And then the fuel tanks serves this dual structure, and it’s no longer cargo. It’s fundamental to the structure of the aircraft. This was a major breakthrough. We’re doing the same for cars.","So this is really quite profound. Effectively the non cell portion of the battery has negative mass. So we saved more mass than the rest of the vehicle than the non cell portion of the battery. So it’s like, “How do you really minimize the mass of a battery? Make it negative. Make the non cell portion of battery pack negative.” So it also allows us to pack the cells more densely because we do not have intermediate structure in the battery pack. So instead of having these supports and stabilizers and stringers and structural elements in the battery, we now have a lot more space in the battery because the pack itself is structural."
"So this is really quite profound. Effectively the non cell portion of the battery has negative mass. So we saved more mass than the rest of the vehicle than the non cell portion of the battery. So it’s like, “How do you really minimize the mass of a battery? Make it negative. Make the non cell portion of battery pack negative.” So it also allows us to pack the cells more densely because we do not have intermediate structure in the battery pack. So instead of having these supports and stabilizers and stringers and structural elements in the battery, we now have a lot more space in the battery because the pack itself is structural.","What we do essentially, instead of having just a filler that is a flame retardant, which is currently what is in the 3NY battery packs, we have a filler that is a structural adhesive, as well as flame-retardant. So it effectively glues the cells to the top and bottom sheet. And this allows you to do shear transfer between upper and lower sheet. Just like if you have a formula one craft or a racing boat, and you have carbon fiber face sheets and aluminum honeycomb between them, this gives you incredible stiffness and it’s really the way that any super fast thing works is you create basically a honeycomb sandwich with two face sheets."
